event_id,event_type,company,detail,date,url,signal_strength,email_template,found_date,status,email_sent,notes
EVT_20260216_0049,JOB_POSTING,Figma,HN Job: Flick (YC F25) Is Hiring Founding Engineer to Build Figma for AI Filmmaking,2025-12-17,https://www.ycombinator.com/companies/flick/jobs/Tdu6FH6-founding-frontend-engineer,MEDIUM,job_removed,2026-02-16,NEW,NO,
EVT_20260216_0050,JOB_POSTING,Figma,HN Job: Patterns (YC S21) is hiring devs to help us build the Figma for data,2022-09-30,https://www.patterns.app/,MEDIUM,job_removed,2026-02-16,NEW,NO,
EVT_20260216_0051,JOB_POSTING,Figma,HN Job: Patterns (YC S21) Is hiring devs to help us build the Figma for data,2022-09-14,https://patterns.app/,MEDIUM,job_removed,2026-02-16,NEW,NO,
EVT_20260216_0052,JOB_POSTING,Canva,HN Job: processing.js / canvas visualization part-time at Cloudkick,2009-09-28,http://jobs.jsninja.com/job/800/processingjs-canvas-visualization-at-cloudkick/,MEDIUM,job_removed,2026-02-16,NEW,NO,
EVT_20260216_0053,JOB_POSTING,Canva,"HN Job: PiinPoint (YC W14) Is Hiring a Full Stack Engineer in Waterloo, Canada",2015-05-27,https://piinpoint.com/index/careers,MEDIUM,job_removed,2026-02-16,NEW,NO,
EVT_20260216_0054,JOB_POSTING,Canva,"HN Job: PiinPoint (YC W14) Is Hiring a Statistician in Waterloo, Canada",2015-05-07,https://piinpoint.com/index/careers#posting2,MEDIUM,job_removed,2026-02-16,NEW,NO,
EVT_20260216_0055,JOB_POSTING,Webflow,HN Job: Webflow (YC S13) is hiring Node.js and back-end experts,2015-06-09,http://jobs.webflow.com/#senior-back-end-developer,MEDIUM,job_removed,2026-02-16,NEW,NO,
EVT_20260216_0056,JOB_POSTING,Webflow,HN Job: Webflow is hiring UI Engineers to build the future of the web,2015-02-26,https://news.ycombinator.com/item?id=9111945,MEDIUM,job_removed,2026-02-16,NEW,NO,
EVT_20260216_0057,JOB_POSTING,Webflow,HN Job: Webflow (YC S13) is hiring Senior UI/UX Designers and JavaScript Hackers,2014-08-15,http://jobs.webflow.com/,MEDIUM,job_removed,2026-02-16,NEW,NO,
EVT_20260216_0058,JOB_POSTING,Supabase,HN Job: Supabase (YC S20) Is Hiring a Senior Auth Engineer (Remote),2025-03-27,https://jobs.ashbyhq.com/supabase/a2ede2c7-3792-4bfd-951d-686267b2b9a8,MEDIUM,job_removed,2026-02-16,NEW,NO,
EVT_20260216_0059,JOB_POSTING,Supabase,HN Job: Supabase (YC S20) Is Hiring for Multiple Roles (Remote),2025-01-06,https://supabase.com/careers,MEDIUM,job_removed,2026-02-16,NEW,NO,
EVT_20260216_0060,JOB_POSTING,Supabase,HN Job: Supabase (YC S20) Is Hiring a Product Marketer (Remote),2024-10-06,https://jobs.ashbyhq.com/supabase/8d022981-842c-40b1-bb04-3a42632bac16,MEDIUM,job_removed,2026-02-16,NEW,NO,
EVT_20260216_0061,JOB_POSTING,Render,HN Job: Apptimize is hiring HPMOR readers and front end engineers,2015-05-05,http://apptimize.com/company/jobs/,MEDIUM,job_removed,2026-02-16,NEW,NO,
EVT_20260216_0062,JOB_POSTING,Fly.io,HN Job: Fly.io (YC W20) Is Hiring a Customer Support Director,2025-02-10,https://news.ycombinator.com/item?id=43005096,MEDIUM,job_removed,2026-02-16,NEW,NO,
EVT_20260216_0063,JOB_POSTING,Fly.io,HN Job: Fly.io (YC W20) Is Hiring Ops Engineers,2022-11-15,https://fly.io/jobs/infrastructure-ops-engineering/,MEDIUM,job_removed,2026-02-16,NEW,NO,
EVT_20260216_0064,JOB_POSTING,Fly.io,HN Job: Fly.io (YC W20) Is Hiring Platform Engineers,2022-04-20,https://fly.io/jobs/platform-product-engineer/,MEDIUM,job_removed,2026-02-16,NEW,NO,
EVT_20260216_0065,JOB_POSTING,Retool,HN Job: Retool (YC W17) is hiring hackers to combine visual programming with AI,2023-05-17,https://news.ycombinator.com/item?id=35978151,MEDIUM,job_removed,2026-02-16,NEW,NO,
EVT_20260216_0066,JOB_POSTING,Retool,HN Job: Retool (YC W17) is hiring hackers to combine visual programming with AI,2023-04-20,https://news.ycombinator.com/item?id=35646253,MEDIUM,job_removed,2026-02-16,NEW,NO,
EVT_20260216_0067,JOB_POSTING,Retool,HN Job: Retool (YC W17) is hiring hackers to combine visual programming with AI,2023-04-06,https://news.ycombinator.com/item?id=35471227,MEDIUM,job_removed,2026-02-16,NEW,NO,
EVT_20260216_0068,JOB_POSTING,Zapier,HN Job: Zapier is hiring a remote platform engineer,2015-06-23,https://zapier.com/jobs/platform-engineer/,MEDIUM,job_removed,2026-02-16,NEW,NO,
