original_handle,original_tweet_id,original_url,content_text,media_path,engagement_score,viral_score,suggested_caption,repurpose_type,status,scheduled_time
@culturecrave,2023861064212111834,https://x.com/CultureCrave/status/2023861064212111834,"David Fincher & Brad Pitt films 

'The Adventures of Cliff Booth' will mark their fourth collaboration",,2884L 190RT 56245V,15,thoughts?,REPOST_WITH_CAPTION,PENDING,
@culturecrave,2023849487270375570,https://x.com/CultureCrave/status/2023849487270375570,McKenna Grace has been cast as Daphne in Netflix's live-action 'Scooby Doo' series,,8323L 388RT 161959V,25,this is crazy,REPOST_WITH_CAPTION,PENDING,
@culturecrave,2023536724148973625,https://x.com/CultureCrave/status/2023536724148973625,"Sony is reportedly considering pushing back the PS6 to 2028 or 2029 

(via 
@business
)",,13542L 1142RT 746470V,30,insane,REPOST_WITH_CAPTION,PENDING,
@culturecrave,2023460461631730034,https://x.com/CultureCrave/status/2023460461631730034,Robert Duvall has passed away at the age of 95,,12905L 1298RT 325356V,30,no way,MEDIA_REPOST,PENDING,
@culturecrave,2023244521484792291,https://x.com/CultureCrave/status/2023244521484792291,Official logo for DC’s ‘Lanterns’ series ,,15791L 1245RT 518262V,35,no way,MEDIA_REPOST,PENDING,
@culturecrave,2023182098354565570,https://x.com/CultureCrave/status/2023182098354565570,"‘The Batman 2’ co-writer Mattson Tomlin says the film feels ‘new and dangerous’  

“We worked exceptionally hard to tell a story worthy of the character. Something that feels new and dangerous. The bar couldn't be higher … Can't begin to describe what this film means to me”",,3613L 275RT 77536V,15,insane,REPOST_WITH_CAPTION,PENDING,
@culturecrave,2023131268922351691,https://x.com/CultureCrave/status/2023131268922351691,"Christopher Nolan & Timothée Chalamet together after the 'Interstellar' screening 

 “I felt like I was 17 again ... He threw me in a headlock and starts hitting me with a noogie … I said to him, ‘Chris I’m a 30 year old man.’ He said, ‘Not to me, you’re not’”

 
@selashiloni",,16441L 559RT 477304V,30,insane,QUOTE_TWEET,PENDING,
@culturecrave,2023102512384073916,https://x.com/CultureCrave/status/2023102512384073916,Solid Snake is coming to ‘Rainbow Six Siege’ ,,28549L 2187RT 4902188V,50,no way,REPLY_BAIT,PENDING,
@culturecrave,2022448025575305636,https://x.com/CultureCrave/status/2022448025575305636,"We’re giving away 40 codes for 'High on Life 2'   

It released on PS5, PC, and Xbox today  

Rules: 

 Follow 
@CultureCrave
 & 
@highonlifegame
 

 Like this post 

 Reply with which system",,15678L 1992RT 688583V,35,insane,REPOST_WITH_CAPTION,PENDING,
@wesocialgrowth,analytics,https://x.com/hootsuite/status/2013296057036501356/analytics,"See why thousands of enterprise organizations choose Hootsuite, the number one leader in social media marketing and intelligence.",,105L 42RT 1580096V,15,no way,REPOST_WITH_CAPTION,PENDING,
@wesocialgrowth,analytics,https://x.com/rayswheels_/status/2022249398085013991/analytics,"30 years since its debut.
Pursuing the ideal of lightweight performance and high rigidity, TE37 has earned its name on both street and circuit.
The 30th Anniversary model blends homage to the original with the latest technology, connecting history and the future.",,281L 28RT 2404397V,20,no way,REPOST_WITH_CAPTION,PENDING,
@NoContextHumans,2023955634052366706,https://x.com/NoContextHumans/status/2023955634052366706,I was today years old when I found out you could do this…,,7120L 724RT 1660986V,30,this is crazy,REPOST_WITH_CAPTION,PENDING,
@NoContextHumans,2023985833649328546,https://x.com/NoContextHumans/status/2023985833649328546,"No one:

Men in a swimming pool:",,3498L 190RT 64349V,15,thoughts?,MEDIA_REPOST,PENDING,
@NoContextHumans,2023970731466359003,https://x.com/NoContextHumans/status/2023970731466359003,True story.,,2365L 96RT 34140V,20,thoughts?,MEDIA_REPOST,PENDING,
@NoContextHumans,2023744239461396753,https://x.com/NoContextHumans/status/2023744239461396753,I’d move to another zoo,,23508L 1470RT 1385065V,40,wild,REPLY_BAIT,PENDING,
@kirawontmiss,2023982639175143480,https://x.com/kirawontmiss/status/2023982639175143480,so do it??? your dad networth is literally 350+ million,,18255L 386RT 623385V,30,no way,REPOST_WITH_CAPTION,PENDING,
@kirawontmiss,2023947000283013528,https://x.com/kirawontmiss/status/2023947000283013528,LMFAOOOOOO,,18485L 357RT 1280298V,30,no way,MEDIA_REPOST,PENDING,
@kirawontmiss,2023886075400462348,https://x.com/kirawontmiss/status/2023886075400462348,I’ll never understand how Jake Paul pulled her,,20604L 699RT 2206364V,45,no way,MEDIA_REPOST,PENDING,
@kirawontmiss,2023865192158011774,https://x.com/kirawontmiss/status/2023865192158011774,"The viral monkey named Punch who was abandoned by his mother, hugged another monkey after it accepted him ",,8472L 462RT 116757V,30,this is crazy,REPOST_WITH_CAPTION,PENDING,
@kirawontmiss,2023846835262308369,https://x.com/kirawontmiss/status/2023846835262308369,"women settle for the worst guy imaginable then blame all men 
https://
x.com/idgafwarvet/st
/idgafwarvet/status/2022894853965930704
…",,4725L 240RT 97491V,15,this is crazy,QUOTE_TWEET,PENDING,
@kirawontmiss,2023831883965251766,https://x.com/kirawontmiss/status/2023831883965251766,getting knocked with the meta glasses is crazy,,29506L 1238RT 1101259V,40,thoughts?,MEDIA_REPOST,PENDING,
@kirawontmiss,2023818968633667686,https://x.com/kirawontmiss/status/2023818968633667686,,,62475L 1821RT 715946V,55,this is crazy,MEDIA_REPOST,PENDING,
@kirawontmiss,2023799628559511874,https://x.com/kirawontmiss/status/2023799628559511874,Life when you realize that nobody from this generation will experience the ‘American Dream’,,13051L 983RT 260177V,35,this is crazy,REPOST_WITH_CAPTION,PENDING,
@kirawontmiss,2023789799380054034,https://x.com/kirawontmiss/status/2023789799380054034,Youtube greed sickens me,,2982L 157RT 63085V,15,insane,MEDIA_REPOST,PENDING,
@kirawontmiss,2023636818382479430,https://x.com/kirawontmiss/status/2023636818382479430,we all know once the camera stopped recording he immediately grabbed them out of the trash,,8030L 294RT 148404V,25,wild,REPOST_WITH_CAPTION,PENDING,
@kirawontmiss,2023617534012821802,https://x.com/kirawontmiss/status/2023617534012821802,the girl wearing red has the best situational awareness ive ever seen,,102148L 4578RT 3413971V,65,no way,REPOST_WITH_CAPTION,PENDING,
@kirawontmiss,2023588348988735488,https://x.com/kirawontmiss/status/2023588348988735488,who the FUCK asked for this???,,14630L 1270RT 248602V,35,insane,MEDIA_REPOST,PENDING,
@kirawontmiss,2023558941494702409,https://x.com/kirawontmiss/status/2023558941494702409,WTF DO YOU MEAN 10 YEARS???,,29713L 2761RT 1379223V,45,lmaooo,MEDIA_REPOST,PENDING,
@kirawontmiss,2023543887705542848,https://x.com/kirawontmiss/status/2023543887705542848,,,84729L 4501RT 831766V,65,no way,MEDIA_REPOST,PENDING,
@kirawontmiss,2023523493099548977,https://x.com/kirawontmiss/status/2023523493099548977,"> Be born in the 2000s
> Pandemic hits at the age of enjoyment
> Ai implementation at the age of employment",,61580L 4967RT 923909V,60,thoughts?,REPOST_WITH_CAPTION,PENDING,
@HumansNoContext,2023588787880628265,https://x.com/HumansNoContext/status/2023588787880628265,This moment is priceless,,78984L 2804RT 2008568V,60,wild,MEDIA_REPOST,PENDING,
@HumansNoContext,2024062492247314611,https://x.com/HumansNoContext/status/2024062492247314611,,,2621L 75RT 35156V,20,insane,MEDIA_REPOST,PENDING,
@HumansNoContext,2024043271937224981,https://x.com/HumansNoContext/status/2024043271937224981,,,2205L 130RT 37805V,15,no way,MEDIA_REPOST,PENDING,
@HumansNoContext,2023674258308603921,https://x.com/HumansNoContext/status/2023674258308603921,,,15438L 1001RT 143027V,45,no way,MEDIA_REPOST,PENDING,
@FearedBuck,2024008137087275041,https://x.com/FearedBuck/status/2024008137087275041,"DeenTheGreat just got punched by a man after he disrespected him on stream

Last night he was slapped by Larry Wheels for disrespecting his wife",,18324L 949RT 1169252V,35,thoughts?,REPOST_WITH_CAPTION,PENDING,
@FearedBuck,2023968016489193658,https://x.com/FearedBuck/status/2023968016489193658,"Tbvnks breaks down how his ex, Zach LaVine’s sister Camryn LaVine, cheated on him multiple times during their relationship with her ex, came home with hickeys, and reveals she created an exclusive Instagram subscription to make him mad",,10665L 329RT 491163V,20,this is crazy,QUOTE_TWEET,PENDING,
@FearedBuck,2023840705274409064,https://x.com/FearedBuck/status/2023840705274409064,"Video of Shia LaBeouf getting beat up in New Orleans before getting arrested

(via TMZ)",,6060L 272RT 672782V,20,no way,REPOST_WITH_CAPTION,PENDING,
@FearedBuck,2023832805890027587,https://x.com/FearedBuck/status/2023832805890027587,"NBA star Zach LaVine’s sister Camryn LaVine went live on TikTok threatening to expose her boyfriend TBvnks, revealing she never signed an NDA.",,14148L 343RT 1234460V,30,no way,QUOTE_TWEET,PENDING,
@FearedBuck,2023802933037723965,https://x.com/FearedBuck/status/2023802933037723965,"Alabama’s star WR Ryan Williams, 19, has announced his engagement to his girlfriend Alexis Hill, 25.

Congrats to him as he will also be stepping into a new role as a stepdad.",,15729L 1231RT 1970627V,35,thoughts?,REPOST_WITH_CAPTION,PENDING,
@FearedBuck,2023800336641864091,https://x.com/FearedBuck/status/2023800336641864091,Streamer “Jbeezyup” hosted an event for his viewers to rate their music transitions and was shocked when he heard the best transition ever.,,41616L 2337RT 519193V,55,insane,REPOST_WITH_CAPTION,PENDING,
@FearedBuck,2023696581313126863,https://x.com/FearedBuck/status/2023696581313126863,Veteran U.S. civil rights leader Jesse Jackson has died at the age of 84.,,16727L 1302RT 302139V,35,thoughts?,REPOST_WITH_CAPTION,PENDING,
@FearedBuck,2023642367299858470,https://x.com/FearedBuck/status/2023642367299858470,"Larry Wheels slapped DeenTheGreat after he repeatedly complimented his wife, asked her for a hug, and disrespected him during a double-date stream.",,52020L 2646RT 1507136V,55,this is crazy,REPOST_WITH_CAPTION,PENDING,
@AMAZlNGNATURE,2023914655454798178,https://x.com/AMAZlNGNATURE/status/2023914655454798178,The age of AI is really putting normies and billion dollar corporations onto an even playing field ,,509L 47RT 723452V,10,mind blown,REPOST_WITH_CAPTION,PENDING,
@AMAZlNGNATURE,analytics,https://x.com/Edison_Electric/status/2012263254224159106/analytics,America's electric companies are committed to building a stronger future by continuing to strengthen the energy grid and investing in tomorrow's demands—so you can make the most of every moment.,,44L 11RT 981501V,10,nature is wild,QUOTE_TWEET,PENDING,
@AMAZlNGNATURE,2023895449489354892,https://x.com/AMAZlNGNATURE/status/2023895449489354892,everything is terrible so here’s a baby lion cub learning to roar,,3348L 416RT 65942V,15,beautiful,REPOST_WITH_CAPTION,PENDING,
@AMAZlNGNATURE,2023820051988516966,https://x.com/AMAZlNGNATURE/status/2023820051988516966,Bats just love watermelon,,14763L 2183RT 411510V,35,beautiful,MEDIA_REPOST,PENDING,
@AMAZlNGNATURE,2023792535286526410,https://x.com/AMAZlNGNATURE/status/2023792535286526410,"Turtle emergency, turtle emergency!",,16486L 1006RT 584821V,35,nature is wild,MEDIA_REPOST,PENDING,
@Rainmaker1973,1738536254818443453,https://x.com/Rainmaker1973/status/1738536254818443453,,,14670L 1527RT 22750730V,45,how is this real,REPLY_BAIT,PENDING,
@Rainmaker1973,2024011226917814602,https://x.com/Rainmaker1973/status/2024011226917814602,"When this kid tried interviewing celebs on the red carpet, and nobody took him seriously except Sandra Bullock",,2748L 196RT 101237V,10,insane,REPOST_WITH_CAPTION,PENDING,
@Awk20000,2023949671568191825,https://x.com/Awk20000/status/2023949671568191825,Hasan denies being insecure about his height,,6019L 82RT 89278V,25,no way,MEDIA_REPOST,PENDING,
@Awk20000,2023820144557125848,https://x.com/Awk20000/status/2023820144557125848,"Asmongold responds after Hasan called him cringe for using AAVE

“Is that AAVE, we chillin?..ur 40 too and ur trying to hang out w these guys in real life..going to their parties..I’m talking the same way i used to forever, u got more grey hair than I do”

“Hasan doesn’t",,7103L 166RT 265020V,15,wild,REPOST_WITH_CAPTION,PENDING,
